CountryCode	tot_case_permillion_apr	tot_case_permillion_may	tot_case_permillion_jun	G_Temp_C_Jan2016	G_Temp_C_Feb2016	G_Temp_C_Mar2016	G_Temp_C_Apr2016	H_Diabetes2019	E_Urban_pct2018	E_Employ2018_serv_pct_tot_emp	E_Employ2018_agri_pct_tot_emp	E_Employ2018_ind_pct_tot_emp	H_covidduration_10Apr	H_covidduration_11May	H_covidduration_10Jun	TotVisitor2018_permillion	D_Popden2018	G_Rain_mm_Jan2016	G_Rain_mm_Feb2016	G_Rain_mm_Mar2016	G_Rain_mm_Apr2016	H_DALY_CVD_70yrs	H_DALY_resp_70yrs	H_DALY_CVD_all	H_DALY_resp_all	D_Age_15_64y_2018	D_Pop_over65_2018	G_Land_area_sqkm	 Rain_Apr_2010_2016_Average	Rain_Feb_2010_2016_Average	Rain_Jan_2010_2016_Average	Rain_Mar_2010_2016_Average	Temp_Apr_2010_2016_avg	Temp_Feb_2010_2016_avg	Temp_Jan_2010_2016_avg	Temp_Mar_2010_2016_avg
BES	76.275	228.824	266.962	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	40	70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	328	NA	NA	NA	NA	NA	NA	NA	NA
BDI	0.252	1.598	6.98	21.9844	21.4975	21.5936	20.715	5.1	13.032	6.484000206	92.01100159	1.504999995	11	41	71	NA	436.1782714	285.4230003	131.636	203.7400001	225.2940001	77.50000009	14.10000001	359.5999999	107.5999999	53.25137878	3.246940461	25680	127.0283571	119.8343	150.3547857	184.2143429	20.29087143	20.90842857	20.83157143	20.87861429
SSD	0.179	13.936	143.295	27.3052	29.0704	32.0408	30.7462	10.2	19.615	28.67200089	57.7120018	13.61600018	11	41	71	NA	NA	3.924990004	6.885269993	34.96849997	50.36620004	107.3	17.50000001	361.0000001	97.60000007	55.78139564	4.398482881	619745	63.33634286	5.494642857	3.249302857	31.59068571	30.45304286	29.57895714	27.422	31.06695714
SLE	0.878	38.486	128.495	25.9218	27.2571	28.7228	28.9914	2.4	42.055	38.09600067	55.56399918	6.34100008	11	41	71	7706.805	106.987171	12.2245	7.068950003	20.09220002	104.955	77.40000006	12.20000001	439.9	86.89999991	56.9738045	3.96655621	72180	112.255	13.06615	5.73042	25.46945714	28.40287143	27.24432857	25.74887143	28.58997143
BWA	5.528	9.78	17.86	27.9148	27.9282	25.7972	21.8037	5.8	69.446	60.81100082	21.02700043	18.16200066	11	41	71	NA	4.977424876	59.97040006	60.79210001	83.29219995	17.36409999	27.50000001	7.599999995	71.10000004	25.40000002	62.66317964	5.223874346	566730	33.37218571	69.32578571	93.84498571	64.71337143	21.89137143	26.54177143	26.92857143	25.47342857
MNP	191.115	277.985	521.222	26.7986	26.5479	27.0197	28.4634	NA	91.618	NA	NA	NA	12	42	72	9395918.153	124.6565218	164.0519999	245.3369998	134.0009999	104.3459999	NA	NA	NA	NA	NA	NA	460	257.2718429	210.5538714	472.4181429	294.0461429	27.9807	26.4479	26.62717143	27.16255714
PRI	238.741	768.306	1812.405	24.0992	24.2907	24.4739	25.2955	13.7	93.578	83.22499847	1.077999949	15.69699955	15	45	75	899362.063	361.2201802	65.51689998	146.8000001	82.64569992	386.4020003	NA	NA	NA	NA	65.48906365	19.67485023	8870	170.4283	100.1025286	122.0083429	64.69177143	25.29485714	24.25918571	23.94507143	24.42591429
VGB	99.216	231.504	264.577	NA	NA	NA	NA	14.2	47.723	NA	NA	NA	16	46	76	6261855.074	199.68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	150	NA	NA	NA	NA	NA	NA	NA	NA
GNB	17.785	368.903	705.793	26.6811	26.8122	28.8933	30.2675	2.4	43.36	24.50600052	68.4980011	6.995999813	16	46	76	NA	67.65394733	1	1.06343	1	1.876990001	18.49999998	3.699999999	61.99999993	15.8	55.83713146	3.823716332	28120	1.355341429	0.016267143	0.000518571	0.000348571	30.00042857	26.81061429	25.48741429	28.9481
AIA	199.973	199.973	199.973	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	46	76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	91	NA	NA	NA	NA	NA	NA	NA	NA
SXM	1165.99	1772.305	1795.625	NA	NA	NA	NA	6.8	100	NA	NA	NA	17	47	77	4449357.591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34	NA	NA	NA	NA	NA	NA	NA	NA
KNA	206.798	281.997	281.997	24.15	24.25	24.15	25.0499	13.3	30.776	NA	NA	NA	17	47	77	2280124.767	202.6961538	85.37500006	89.9249001	158.6989999	117.074	NA	NA	NA	NA	NA	NA	260	142.9531286	92.87124286	114.6355714	97.13197143	24.74994286	24.11784286	24.03212857	24.11785714
MLI	2.913	34.764	78.318	22.3765	24.113	28.3757	32.667	2.4	42.356	29.34300041	63.00600052	7.651000023	17	47	77	778.056	16.63501585	1.221099999	1.340099999	1.606670002	8.711489991	180.9000001	37.50000002	688.7	217.7	50.94928386	3.507229755	1220190	6.81999	0.399748571	0.072182857	0.812597143	31.83245714	24.68014286	22.03904286	28.65791429
TCA	206.622	309.933	309.933	NA	NA	NA	NA	NA	93.098	NA	NA	NA	18	48	78	12635769.73	40.64736843	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	950	NA	NA	NA	NA	NA	NA	NA	NA
LAO	2.199	2.611	2.611	19.5814	19.5894	24.1649	27.6786	6.4	35.004	25.14900017	63.24399948	11.60700035	18	48	78	557828.282	31.59578421	110.2420001	9.335299999	22.8485	73.26560007	101.8	25.00000002	363.8000002	100.0999999	64.32093131	5.075149969	230800	82.29707143	15.83549	56.13599286	44.37162857	26.04465714	21.48395714	19.24604286	23.5795
LBY	3.493	9.314	48.317	13.1445	16.7334	19.3004	24.316	10.2	80.102	58.64500046	18.43300056	22.92300034	18	48	78	NA	4.795632381	7.798689993	2.199579999	1.622509999	1.767280001	104.2	12.89999999	306.8999997	48.59999997	68.28872198	5.392040257	1759540	2.624918571	3.92652	7.555088571	3.712074286	23.44654286	15.78104286	13.43225714	19.20582857
VIR	478.822	660.774	679.927	NA	NA	NA	NA	12.3	95.721	76.89900208	3.388999939	19.71199989	18	48	78	3700763.465	306.6485716	NA	NA	NA	NA	NA	NA	NA	NA	61.99828041	20.28830724	350	NA	NA	NA	NA	NA	NA	NA	NA
CUW	85.314	97.502	127.971	NA	NA	NA	NA	11.6	89.145	NA	NA	NA	19	49	79	2700006.247	NA	NA	NA	NA	NA	NA	NA	NA	NA	65.43115913	17.68489481	444	NA	NA	NA	NA	NA	NA	NA	NA
MMR	0.496	3.308	4.521	17.4929	20.0651	23.8188	26.5187	3.9	30.579	34.26599884	49.70000076	16.0340004	19	49	79	67145.428	83.2386155	20.26010002	10.66391999	21.29330001	60.61189999	895.9000008	351.9999996	2820.100003	1117.9	68.84430976	6.784641929	653080	59.63787143	6.081945714	12.49954143	24.87944286	25.8875	20.34205714	18.11964286	23.24695714
BLZ	22.635	45.269	47.784	23.2621	22.9213	25.9332	27.5573	17.1	45.724	67.23400116	17.08600044	15.68000031	19	49	79	1332591.188	17.79399384	65.60210002	98.21990008	73.40960006	57.49469997	5.400000002	1.600000001	13.3	3.999999997	65.98377586	5.736458777	22810	55.5958	55.86312857	111.7503	66.7775	27.18431429	23.84022857	23.21295714	25.25961429
VCT	108.16	153.226	243.359	26.7	26.3899	26.8	27.99	11.6	52.198	69.10500336	10.94499969	19.9489994	19	49	79	729643.209	283.5897436	64.83999997	40.62999997	93.51999997	41.75000002	3.800000003	1.2	7.899999995	2.200000001	68.86890597	10.58978686	390	99.43127143	42.76568571	68.78712857	61.93284286	27.46571429	26.30708571	26.24285714	26.7
ABW	768.035	945.994	945.994	NA	NA	NA	NA	11.6	43.411	NA	NA	NA	20	50	80	10322171.66	589.0277777	NA	NA	NA	NA	NA	NA	NA	NA	69.64660594	14.55094714	180	NA	NA	NA	NA	NA	NA	NA	NA
GRD	106.649	186.635	204.41	26.6788	26.2818	26.7788	27.8754	10.7	36.272	NA	NA	NA	20	50	80	1723858.069	328.8058827	50.46710006	31.19569999	82.40250002	69.99830004	3.199999998	1.2	6.500000005	1.8	67.81680338	10.62190679	340	90.8151	38.35993429	72.87398571	58.47218571	27.38905714	26.2232	26.09405714	26.67788571
DMA	222.25	222.25	250.031	24.1652	24.0698	24.1029	25.0843	11.6	70.483	NA	NA	NA	20	50	80	856643.642	96.49999992	181.9920001	137.3480001	315.192	130.5229999	NA	NA	NA	NA	NA	NA	750	311.1152857	131.5393429	182.5712857	191.2844143	24.5908	23.9134	23.98987143	23.97755714
MOZ	0.544	2.911	14.493	26.4742	27.2757	26.9119	24.6275	3.3	35.988	21.00200081	70.58699799	8.411000252	20	50	80	95145.708	38.50853528	206.6380001	110.691	122.606	85.31910008	228.9999998	28.59999999	673.8000006	182.8999998	53.43843538	3.890764458	786380	77.37247143	178.7844286	218.6992857	139.3785714	24.51684286	26.58248571	26.45828571	26.15472857
SYR	1.086	2.686	8.343	6.20466	11.5363	13.8191	19.6743	13.5	54.162	62.23699951	11.00800037	26.75499916	20	50	80	NA	93.06710785	59.41689996	31.06870003	39.75750003	17.11679999	322.3999999	27.99999998	956.7000001	132.4999999	65.07533478	5.503124422	183630	24.03407143	40.58828571	57.30131429	33.94282857	17.94892857	9.698165714	7.426871429	12.97556857
UGA	1.159	2.645	14.363	25.2064	25.3727	25.3145	24.3254	2.5	23.774	20.52899933	72.875	6.596000195	21	51	81	NA	214.0617344	87.60880005	28.63120002	90.53410008	181.2760002	227.7000002	42.10000002	940.2999998	310.7999999	52.12848785	2.94098692	200520	154.0405571	41.41674286	47.02491429	109.2931714	23.69895714	24.63552857	24.14154286	24.88307143
ERI	9.305	10.997	11.561	22.8108	24.7936	28.3323	28.914	5.1	NA	29.92000008	61.61800003	8.461999893	21	51	81	NA	NA	9.310559996	1.41073	4.220580004	17.32070001	56.50000002	9.499999994	184.2000001	45.20000002	NA	NA	101000	10.49091571	1.671648571	7.168051429	2.798028571	28.45714286	25.1568	23.24341429	26.68735714
AGO	0.578	1.369	2.921	24.4096	24.4343	23.8346	22.2593	4.5	65.514	41.27500153	50.51800156	8.206999779	21	51	81	7565.942	25.71305205	118.5790001	127.061	145.6059999	83.74770007	182.7999998	29.19999997	672.4000004	216.1000001	51.97470165	3.216373646	1246700	101.0052857	135.535	143.9108571	170.2344286	22.50455714	23.34094286	23.07398571	23.26582857
TLS	1.517	18.203	18.203	26.7362	26.8982	27.209	27.0801	6.7	30.578	45.02500153	45.47900009	9.49600029	21	51	81	59117.723	86.27047753	223.0500002	110.8079999	232.352	114.756	12.5	4.199999996	38.39999997	13.10000001	58.90284342	5.316492297	14870	179.0823714	213.5058571	293.0191429	283.19	25.8177	25.72364286	25.75202857	25.9894
MSR	1800.36	2200.44	2200.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	51	81	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	102	NA	NA	NA	NA	NA	NA	NA	NA
IMN	2234.453	3880.892	3951.454	NA	NA	NA	NA	NA	52.588	NA	NA	NA	22	52	82	NA	148.5035087	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	570	NA	NA	NA	NA	NA	NA	NA	NA
NER	16.938	33.916	40.237	19.3265	22.6202	28.7113	32.391	2.4	16.425	17.4829998	75.31199646	7.204999924	22	52	82	7594.5	18.7176506	1.010060001	1.437709998	1.191519999	2.896779998	166.4	26.9	725.3999996	179.7	48.42066749	3.595007883	1266700	2.281238571	0.518445714	0.01006	0.230521429	31.36288571	23.54025714	19.88071429	27.59924286
MDG	3.358	6.175	41.096	25.2028	25.3506	25.4249	24.1394	4.5	37.191	26.43099976	64.6740036	8.895999908	22	52	82	11689.345	46.1398556	224.3550001	232.8629999	190.445	91.95489991	234.2000001	45.50000004	930.0999992	288.0999998	57.3451323	3.986717128	581800	93.4412	276.9335714	278.7582857	180.2405714	24.01094286	25.07741429	25.08747143	24.95918571
ZWE	0.74	2.422	21.126	25.249	26.0157	24.6239	21.4851	1.8	32.209	26.80599976	66.30699921	6.887000084	22	52	82	159748.793	38.32459093	45.64369997	44.39629996	114.271	13.18930001	112.0000001	28.10000001	467.7999995	140.4999999	55.65941007	3.93952365	386850	33.13627143	86.29364286	151.8258714	74.97715714	21.5954	24.63521429	24.52767143	23.87517143
PNG	0.224	0.894	0.894	25.8074	26.1561	25.9989	25.9956	17.9	13.169	34.1969986	59.36800003	6.434999943	22	52	82	17316.158	20.00436338	308.2430001	306.2430003	334.609	239.4170002	83.19999994	25.69999998	422.8999999	138.2	61.73879631	4.445269247	452860	346.358	312.3337143	307.243	331.6687143	25.71287143	25.71591429	25.66375714	25.65652857
CPV	12.59	442.456	1052.181	23.7507	22.2554	21.4185	22.0371	2.4	65.732	66.28199768	11.8380003	21.87999916	22	52	82	1315886.432	135.9297766	1	12.71800001	12.99860001	13.97369999	58.30000003	10.5	198.5999999	53.09999999	67.61290595	5.609327151	4030	12.9737	11.718	10.89592857	11.9986	21.90285714	21.00421429	22.19488571	21.552
NCL	63.049	63.049	73.557	25.1409	26.4996	25.2184	24.2233	21.8	70.683	77.00499725	1.985000014	21.01000023	22	52	82	431656.721	16.5393873	49.07390005	219.181	281.7749997	51.07529997	NA	NA	NA	NA	69.08491634	10.17415794	18280	144.5945	157.7589143	195.7555571	171.4707286	23.52221429	25.21854286	24.86115714	24.61014286
GIB	3650.827	4333.502	5223.947	NA	NA	NA	NA	NA	100	NA	NA	NA	23	53	83	NA	3372.799998	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA
BMU	770.8	1894.882	2264.224	NA	NA	NA	NA	6.7	100	NA	NA	NA	23	53	83	4316429.927	1185.592573	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	50	NA	NA	NA	NA	NA	NA	NA	NA
CYM	684.723	1232.502	2678.028	NA	NA	NA	NA	6.8	100	NA	NA	NA	23	53	83	7619408.885	268.3916665	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	240	NA	NA	NA	NA	NA	NA	NA	NA
