CountryName	CountryCode	log_tot_case_per_million_may	log_tot_case_per_million_jun	G_Temp_C_Jan2016	G_Temp_C_Feb2016	G_Temp_C_Mar2016	G_Temp_C_Apr2016	H_Diabetes2019	E_Urban_pct2018	E_Employ2018_serv_pct_tot_emp	E_Employ2018_agri_pct_tot_emp	E_Employ2018_ind_pct_tot_emp	log_H_covidduration_11May	log_H_covidduration_10Jun	log_E_TotVisitor2018_permillion	log_D_Popden2018	log_G_Rain_mm_Jan2016	log_G_Rain_mm_Feb2016	log_G_Rain_mm_Mar2016	log_G_Rain_mm_Apr2016	H_DALY_CVD_70yrs	H_DALY_resp_70yrs	H_DALY_CVD_all	H_DALY_resp_all	D_Age_15_64y_2018	D_Pop_over65_2018	log_G_Land_area_sqkm
Bonaire Sint Eustatius and Saba	BES	2.361395379	2.428073211	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.612783857	1.851258349	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.515873844
Burundi	BDI	0.414639147	0.902002891	21.9844	21.4975	21.5936	20.715	5.1	13.032	6.484000206	92.01100159	1.504999995	1.62324929	1.857332496	NA	2.640658569	2.45700789	2.122661416	2.311202699	2.354673039	1.894869657	1.178976948	2.557025722	2.035829825	53.25137878	3.246940461	4.409595019
South Sudan	SSD	1.174234305	2.159251283	27.3052	29.0704	32.0408	30.7462	10.2	19.615	28.67200089	57.7120018	13.61600018	1.62324929	1.857332496	NA	NA	0.692405353	0.896816568	1.555922326	1.710677439	2.034628457	1.267171729	2.558708571	1.993876915	55.78139564	4.398482881	5.792213032
Sierra Leone	SLE	1.596443141	2.112253	25.9218	27.2571	28.7228	28.9914	2.4	42.055	38.09600067	55.56399918	6.34100008	1.62324929	1.857332496	3.886930719	2.033372164	1.121379261	0.906817024	1.324121881	2.025121456	1.894316063	1.120573932	2.644340099	1.943988875	56.9738045	3.96655621	4.858416878
Botswana	BWA	1.032618761	1.275541688	27.9148	27.9282	25.7972	21.8037	5.8	69.446	60.81100082	21.02700043	18.16200066	1.62324929	1.857332496	NA	0.776514127	1.785119045	1.790932955	1.925787389	1.263969649	1.45484486	0.934498451	1.857935265	1.421603927	62.66317964	5.223874346	5.753376203
Northern Mariana Islands	MNP	2.445580853	2.717855164	26.7986	26.5479	27.0197	28.4634	NA	91.618	NA	NA	NA	1.633468456	1.86332286	6.972939271	2.099185034	2.217620791	2.391529648	2.130336985	2.02261805	NA	NA	NA	NA	NA	NA	2.662757832
Puerto Rico	PRI	2.88609912	3.258494809	24.0992	24.2907	24.4739	25.2955	13.7	93.578	83.22499847	1.077999949	15.69699955	1.662757832	1.880813592	5.953935047	2.558972642	1.822932001	2.169674434	1.92244362	2.588161859	NA	NA	NA	NA	65.48906365	19.67485023	3.94792362
British Virgin Islands	VGB	2.366430429	2.424190461	NA	NA	NA	NA	14.2	47.723	NA	NA	NA	1.672097858	1.886490725	6.796703081	2.302504092	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.176091259
Guinea-Bissau	GNB	2.568087854	2.84929224	26.6811	26.8122	28.8933	30.2675	2.4	43.36	24.50600052	68.4980011	6.995999813	1.672097858	1.886490725	NA	1.836665513	0.301029996	0.31458974	0.301029996	0.458938352	1.290034611	0.672097858	1.799340549	1.225309282	55.83713146	3.823716332	4.449015316
Anguilla	AIA	2.303137715	2.303137715	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.672097858	1.886490725	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.959041392
Sint Maarten (Dutch part)	SXM	3.248783439	3.254457439	NA	NA	NA	NA	6.8	100	NA	NA	NA	1.681241237	1.892094603	6.648297409	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.531478917
Saint Kitts and Nevis	KNA	2.451781832	2.451781832	24.15	24.25	24.15	25.0499	13.3	30.776	NA	NA	NA	1.681241237	1.892094603	6.357958802	2.308982829	1.936388061	1.958682833	2.203302196	2.072154276	NA	NA	NA	NA	NA	NA	2.414973348
Mali	MLI	1.553446086	1.899371755	22.3765	24.113	28.3757	32.667	2.4	42.356	29.34300041	63.00600052	7.651000023	1.681241237	1.892094603	2.891568677	1.246375854	0.346568112	0.369234416	0.416086054	0.987285867	2.259832699	1.58546073	2.838660226	2.339848783	50.94928386	3.507229755	6.086427461
Turks and Caicos Islands	TCA	2.492666817	2.492666817	NA	NA	NA	NA	NA	93.098	NA	NA	NA	1.69019608	1.897627091	7.101601737	1.619587565	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.977723605
Laos	LAO	0.557627488	0.557627488	19.5814	19.5894	24.1649	27.6786	6.4	35.004	25.14900017	63.24399948	11.60700035	1.69019608	1.897627091	5.746501308	1.513161434	2.046268789	1.014323087	1.377461068	1.870787695	2.011993115	1.414973348	2.56205483	2.004751155	64.32093131	5.075149969	5.363235804
Libya	LBY	1.013427127	1.69299665	13.1445	16.7334	19.3004	24.316	10.2	80.102	58.64500046	18.43300056	22.92300034	1.69019608	1.897627091	NA	0.76310083	0.944418016	0.505092973	0.418717153	0.442053104	2.02201574	1.1430148	2.488409688	1.695481676	68.28872198	5.392040257	6.245399144
United States Virgin Islands	VIR	2.8207097	2.833100555	NA	NA	NA	NA	12.3	95.721	76.89900208	3.388999939	19.71199989	1.69019608	1.897627091	6.568291445	2.488054903	NA	NA	NA	NA	NA	NA	NA	NA	61.99828041	20.28830724	2.544068044
Curacao	CUW	1.993445049	2.110492067	NA	NA	NA	NA	11.6	89.145	NA	NA	NA	1.698970004	1.903089987	6.43136493	NA	NA	NA	NA	NA	NA	NA	NA	NA	65.43115913	17.68489481	2.64738297
Myanmar	MMR	0.634275695	0.742017747	17.4929	20.0651	23.8188	26.5187	3.9	30.579	34.26599884	49.70000076	16.0340004	1.698970004	1.903089987	4.827022914	1.92551122	1.327565303	1.066844532	1.348174361	1.789664602	2.952744024	2.547774705	3.450418481	3.048791274	68.84430976	6.784641929	5.814966384
Belize	BLZ	1.665290113	1.688277407	23.2621	22.9213	25.9332	27.5573	17.1	45.724	67.23400116	17.08600044	15.68000031	1.698970004	1.903089987	6.124697263	1.27401908	1.823487923	1.996598785	1.87162897	1.767116518	0.806179974	0.414973348	1.155336037	0.698970004	65.98377586	5.736458777	4.358125285
Saint Vincent and the Grenadines	VCT	2.188157595	2.388028339	26.7	26.3899	26.8	27.99	11.6	52.198	69.10500336	10.94499969	19.9489994	1.698970004	1.903089987	5.86311114	2.454219244	1.818489822	1.619406411	1.975523713	1.630936119	0.681241238	0.342422681	0.949390006	0.505149978	68.86890597	10.58978686	2.591064607
Aruba	ABW	2.976347227	2.976347227	NA	NA	NA	NA	11.6	43.411	NA	NA	NA	1.707570176	1.908485019	7.013771119	2.770872458	NA	NA	NA	NA	NA	NA	NA	NA	69.64660594	14.55094714	2.255272505
Grenada	GRD	2.273313852	2.312621583	26.6788	26.2818	26.7788	27.8754	10.7	36.272	NA	NA	NA	1.707570176	1.908485019	6.236501758	2.518258398	1.711529698	1.507797872	1.921179069	1.85124795	0.62324929	0.342422681	0.875061264	0.447158031	67.81680338	10.62190679	2.531478917
Dominica	DMA	2.348791468	2.399727356	24.1652	24.0698	24.1029	25.0843	11.6	70.483	NA	NA	NA	1.707570176	1.908485019	5.932800703	1.989004615	2.262432104	2.140972886	2.499950878	2.119001706	NA	NA	NA	NA	NA	NA	2.875061263
Mozambique	MOZ	0.592287816	1.190135521	26.4742	27.2757	26.9119	24.6275	3.3	35.988	21.00200081	70.58699799	8.411000252	1.707570176	1.908485019	4.978393767	1.596690929	2.317306837	2.048018179	2.092039552	1.936106904	2.361727836	1.471291711	2.829175074	2.264581729	53.43843538	3.890764458	5.89563246
Syria	SYR	0.566555331	0.970486349	6.20466	11.5363	13.8191	19.6743	13.5	54.162	62.23699951	11.00800037	26.75499916	1.707570176	1.908485019	NA	1.973437792	1.781158438	1.506081355	1.610207538	1.25808149	2.509740015	1.462397998	2.981229487	2.125481265	65.07533478	5.503124422	5.263943634
Uganda	UGA	0.561697533	1.186476031	25.2064	25.3727	25.3145	24.3254	2.5	23.774	20.52899933	72.875	6.596000195	1.716003344	1.913813852	NA	2.332563144	1.947476855	1.47174924	1.961582916	2.26072949	2.359266165	1.63447727	2.973728059	2.493876111	52.12848785	2.94098692	5.302157696
Eritrea	ERI	1.079072659	1.099024216	22.8108	24.7936	28.3323	28.914	5.1	NA	29.92000008	61.61800003	8.461999893	1.716003344	1.913813852	NA	NA	1.013282254	0.382148572	0.717718756	1.262942063	1.759667845	1.021189299	2.267640983	1.664641976	NA	NA	5.004321374
Angola	AGO	0.374565061	0.593396842	24.4096	24.4343	23.8346	22.2593	4.5	65.514	41.27500153	50.51800156	8.206999779	1.716003344	1.913813852	3.878920405	1.42672351	2.077654918	2.107416889	2.166151744	1.928127921	2.264345507	1.480006943	2.828273112	2.336659824	51.97470165	3.216373646	6.095761959
Timor	TLS	1.283369082	1.283369082	26.7362	26.8982	27.209	27.0801	6.7	30.578	45.02500153	45.47900009	9.49600029	1.716003344	1.913813852	4.771725044	1.940867352	2.350344949	2.048472879	2.368011527	2.063543511	1.130333768	0.716003343	1.595496221	1.149219113	58.90284342	5.316492297	4.172310969
Montserrat	MSR	3.342706853	3.342706853	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.716003344	1.913813852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.008600172
Isle of Man	IMN	3.589043449	3.596866824	NA	NA	NA	NA	NA	52.588	NA	NA	NA	1.72427587	1.919078092	NA	2.174651385	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.755874856
Niger	NER	1.543024485	1.615287063	19.3265	22.6202	28.7113	32.391	2.4	16.425	17.4829998	75.31199646	7.204999924	1.72427587	1.919078092	3.880556368	1.294855167	0.303209021	0.386982039	0.340745438	0.590705887	2.223755454	1.445604203	2.861175835	2.256958153	48.42066749	3.595007883	6.102673771
Madagascar	MDG	0.855821905	1.624240831	25.2028	25.3506	25.4249	24.1394	4.5	37.191	26.43099976	64.6740036	8.895999908	1.72427587	1.919078092	4.067827328	1.673388248	2.352867198	2.368961516	2.282044028	1.968272288	2.371437318	1.667452953	2.968996326	2.461048091	57.3451323	3.986717128	5.764773717
Zimbabwe	ZWE	0.534280005	1.344902908	25.249	26.0157	24.6239	21.4851	1.8	32.209	26.80599976	66.30699921	6.887000084	1.72427587	1.919078092	5.203440304	1.594664214	1.668792993	1.657020457	2.061720061	1.151960971	2.053078444	1.463892989	2.670987603	2.15075644	55.65941007	3.93952365	5.587542601
Papua New Guinea	PNG	0.277379975	0.277379975	25.8074	26.1561	25.9989	25.9956	17.9	13.169	34.1969986	59.36800003	6.434999943	1.72427587	1.919078092	4.238476619	1.322309523	2.490299878	2.487481997	2.525833599	2.380965174	1.925312091	1.426511261	2.627263416	2.143639235	61.73879631	4.445269247	5.655963962
Cape Verde	CPV	2.646850535	3.022503016	23.7507	22.2554	21.4185	22.0371	2.4	65.732	66.28199768	11.8380003	21.87999916	1.72427587	1.919078092	6.119218739	2.1364979	0.301029996	1.137290799	1.146084604	1.175329127	1.773054694	1.06069784	2.300160537	1.733197265	67.61290595	5.609327151	3.605305046
New Caledonia	NCL	1.806512353	1.872488425	25.1409	26.4996	25.2184	24.2233	21.8	70.683	77.00499725	1.985000014	21.01000023	1.72427587	1.919078092	5.635139513	1.244014418	1.699611418	2.34277984	2.451441011	1.71663178	NA	NA	NA	NA	69.08491634	10.17415794	4.261976191
Gibraltar	GIB	3.636939208	3.718081889	NA	NA	NA	NA	NA	100	NA	NA	NA	1.73239376	1.924279286	NA	3.528119334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
Bermuda	BMU	3.277811303	3.355111154	NA	NA	NA	NA	6.7	100	NA	NA	NA	1.73239376	1.924279286	6.635124796	3.074301626	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.698970004
Cayman Islands	CYM	3.091139858	3.427977253	NA	NA	NA	NA	6.8	100	NA	NA	NA	1.73239376	1.924279286	6.881921337	2.430384157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.380211242
Faeroe Islands	FRO	3.58295718	3.58295718	3.23637	2.52013	4.48323	4.47303	4.7	42.064	NA	NA	NA	1.73239376	1.924279286	NA	1.565138796	2.181817872	2.256065575	1.920890493	1.769026351	NA	NA	NA	NA	NA	NA	3.144885418
Antigua and Barbuda	ATG	2.408731661	2.425698843	25.2008	25.3118	25.2281	26.0543	13.1	24.599	NA	NA	NA	1.73239376	1.924279286	6.425587509	2.344061648	2.002487019	1.998023814	2.287739044	2.079965886	0.556302501	0.342422681	0.84509804	0.477121255	70.1190827	9.799825511	2.643452676
Greenland	GRL	2.289493076	2.3617014	-21.069	-24.015	-24.596	-20.287	2.1	86.816	NA	NA	NA	1.73239376	1.924279286	NA	0.329702191	1.748539973	1.596909236	1.775399985	1.613661092	NA	NA	NA	NA	NA	NA	5.61326026
Chad	TCD	1.313930463	1.719182076	20.7018	24.0887	29.4069	31.4897	6	23.059	21.13199997	76.7440033	2.125	1.73239376	1.924279286	NA	1.155084914	0.350873804	0.511040681	0.515703005	1.110815215	2.478999132	1.88592634	2.801540907	2.256717746	51.39318108	3.480518945	6.100094715
Fiji	FJI	1.323850004	1.323850004	26.3964	27.5841	26.6483	25.5076	14.7	56.248	49.68700027	36.93099976	13.38199997	1.73239376	1.924279286	5.985875982	1.702060137	2.431596934	2.650354156	2.626730339	2.97774052	1.247973266	0.716003343	1.818225894	1.201397124	66.03769742	6.44968042	4.261738547
Haiti	HTI	1.229451454	2.508067572	23.4669	24.0442	24.8594	25.3103	6.7	55.278	64.27999878	28.9489994	6.771999836	1.73239376	1.924279286	4.614995986	2.608096393	1.614139702	2.059021632	2.302594975	2.457895516	2.301464073	1.383815366	2.893317812	2.190051418	62.80835196	5.949403848	4.440279213
Mauritius	MUS	2.418390793	2.424858778	26.5749	26.8001	26.5966	25.5451	22	40.793	68.19300079	6.260000229	25.54599953	1.73239376	1.924279286	6.044252108	2.796089798	2.256482019	2.637338601	2.15409516	2.381376842	1.471291711	1.049218023	1.918030337	1.447158031	71.73213464	12.47417306	3.307496038
Suriname	SUR	1.256380953	2.370209514	25.573	25.3688	26.2009	26.1518	12.5	66.06	68.94799805	7.583000183	23.46899986	1.73239376	1.924279286	NA	0.755283966	1.966034202	2.350530993	2.147128861	2.573120032	1.113943352	0.462397998	1.541579244	0.819543936	66.92336673	7.9063699	5.193124598
Guernsey	GGY	3.575104328	3.575104328	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.73239376	1.924279286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.892094603
Jersey	JEY	3.463861498	3.49104945	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.73239376	1.924279286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.077367905
Zambia	ZMB	1.191003634	1.821343183	24.6264	25.1474	24.5509	21.0901	4.5	43.521	39.85699844	49.26100159	10.88099957	1.740362689	1.929418926	4.810319113	1.403831956	2.293450952	2.207176407	2.117330965	1.462059416	2.023252459	1.269512944	2.584670384	2.037426498	53.96418084	3.099678029	5.871216715
Nicaragua	NIC	0.533390708	2.297974871	24.6104	24.4534	26.3668	26.7124	11.4	58.522	52.93000031	30.3029995	16.7670002	1.740362689	1.929418926	5.31012201	1.746066041	1.695301267	1.882840326	1.477561117	1.443810401	1.804820679	1.100370545	2.243286146	1.59439255	65.55082139	6.247497442	5.080410007
Djibouti	DJI	3.08838206	3.641929385	24.5048	25.7741	29.3316	28.7531	5.1	77.777	53.22000122	33.91400146	12.86600018	1.740362689	1.929418926	NA	1.63717361	0.882056409	0.77501229	1.090614233	1.934263061	1.120573932	0.531478917	1.63447727	0.995635195	66.89830466	5.527579379	4.365113432
Kyrgyzstan	KGZ	2.195146592	2.507594137	-8.8414	-7.4972	0.39397	5.82481	6.1	36.351	54.43500137	21.96699905	23.59799957	1.740362689	1.929418926	4.842251167	1.543187306	1.515300143	1.098481051	1.588411779	1.852101041	2.219584526	1.222716471	2.624282095	1.679427897	64.15485489	5.494727977	5.282848603
El Salvador	SLV	2.172305127	2.692817848	24.2017	23.573	25.9571	26.7283	8.8	72.023	61.08800125	16.70800018	22.20400047	1.740362689	1.929418926	5.422199983	2.493989569	1.077422052	1.117271295	1.283710449	1.511225408	1.966141733	1.209515015	2.353723938	1.664641976	65.58082912	9.287089994	4.316389751
French Polynesia	PYF	2.331621623	2.331621623	NA	NA	NA	NA	19.5	61.834	78.15599823	7.081999779	14.76299953	1.740362689	1.929418926	5.88757701	1.891362251	NA	NA	NA	NA	NA	NA	NA	NA	69.94759777	9.290508115	3.563481085
Guam	GUM	2.952133481	3.028350796	NA	NA	NA	NA	18.7	94.78	85.28700256	0.244000003	14.46899986	1.740362689	1.929418926	6.978138658	2.489927245	NA	NA	NA	NA	NA	NA	NA	NA	66.68638095	10.84991073	2.73239376
Gambia	GMB	0.96736074	1.099887727	26.6752	26.9471	28.8104	30.3231	1.9	61.27	56.66699982	27.75300026	15.57999992	1.748188027	1.934498451	5.432630326	2.356611897	NA	NA	NA	NA	1.311753861	0.681241238	1.845718018	1.250420003	54.14127401	3.589980941	4.005180513
Montenegro	MNE	2.713383846	2.713383846	0.29943	4.92154	5.05899	10.6071	9	66.813	73.08300018	8.019000053	18.89800072	1.748188027	1.934498451	6.523100784	1.683686329	2.077084341	2.070521789	2.187300697	1.857263125	1.631443769	0.633468456	1.835690572	0.826074803	67.81554417	15.97493663	4.128722284
Barbados	BRB	2.467319467	2.506699812	26.3317	26.0658	26.2658	27.2317	13.4	31.147	78.06199646	2.693000078	19.24399948	1.748188027	1.934498451	6.377669445	2.825170904	2.157647127	1.795770214	2.166418272	1.55129504	1.079181246	0.51851394	1.303196057	0.69019608	67.85435788	16.80269395	2.633468456
Bahamas	BHS	2.370973601	2.419825275	21.4746	21.7849	24.5219	25.0497	8.8	83.025	83.31600189	2.197999954	14.48700047	1.748188027	1.934498451	6.620551075	1.607728109	NA	NA	NA	NA	0.919078092	0.380211242	1.276461804	0.643452676	71.25752191	8.257602363	4.000434077
Somalia	SOM	1.828131205	2.184734007	26.5705	27.3286	29.8682	29.1108	5.1	44.971	13.17599964	83.20400238	3.619999886	1.755874856	1.939519253	NA	1.41369325	0.69877279	0.694605199	1.022546312	1.88098956	2.057666104	1.227886704	2.713070326	2.080626487	51.55010497	3.873310945	5.79750298
Tanzania	TZA	0.978682565	0.978682565	24.369	24.4467	24.5842	23.1199	5.7	33.776	27.54500008	65.75299835	6.702000141	1.755874856	1.939519253	4.39440944	1.816765312	NA	NA	NA	NA	2.648555155	1.808885867	3.160528554	2.62065648	54.30046267	3.601299179	5.947335676
Benin	BEN	1.436369405	1.417604535	27.3096	29.5965	31.2871	31.2319	1	47.312	41.86399841	39.24700165	18.88899994	1.755874856	1.939519253	4.43351811	2.016422893	0.337902315	0.488162781	1.708499933	1.701533447	2.023252459	1.290034611	2.617734035	2.026533265	55.29871226	4.253605296	5.052155067
Liberia	LBR	1.605800484	1.884942557	25.7082	27.0659	27.7331	27.6391	2.4	51.151	46.16899872	43.43000031	10.40100002	1.755874856	1.939519253	NA	1.7162614	1.469080875	1.522363366	1.962401066	1.948863166	1.655138434	0.838849091	2.127428778	1.444044796	56.62158157	4.253431803	4.983716474
