iso_code	status_lckendvslckstart	status_postlckdn_5d	status_postlckdn_14d	interim_peak	status_pstlckdn_14dvs5d
AFG	1	1	1	0	-1
ALB	-1	1	1	1	1
DZA	1	0	1	1	1
ARG	1	1	1	0	1
ARM	1	1	1	0	1
AUS	-1	-1	-1	1	1
AUT	0	-1	-1	1	0
AZE	-1	1	1	1	1
BGD	1	1	1	0	1
BEL	-1	1	-1	1	-1
BMU	0	-1	-1	1	1
BOL	1	1	1	0	1
BWA	-1	0	0	0	0
BRA	1	1	0	0	-1
BGR	1	-1	-1	1	0
CMR	1	1	1	0	1
CAN	1	-1	-1	1	0
CHN	-1	1	-1	1	-1
COL	1	1	1	0	1
COG	-1	0	0	0	0
CRI	1	-1	1	1	1
HRV	-1	-1	-1	1	0
CUB	-1	-1	-1	1	-1
CZE	1	0	-1	1	-1
DNK	-1	-1	-1	1	1
DOM	1	-1	-1	0	-1
ECU	1	-1	-1	1	1
SLV	1	-1	-1	0	0
ERI	-1	0	0	1	0
EST	-1	1	0	1	-1
FIN	-1	0	-1	1	-1
FRA	-1	1	-1	1	-1
GEO	1	-1	1	1	1
DEU	1	-1	-1	1	1
GHA	1	-1	-1	0	-1
GIB	-1	-1	-1	1	0
GRC	-1	-1	1	1	1
HND	1	1	1	0	1
HUN	0	0	-1	1	-1
IND	1	1	1	0	1
IDN	1	1	1	0	-1
IRN	-1	-1	1	1	1
IRQ	1	1	1	0	1
IRL	-1	1	0	1	-1
ISR	-1	0	0	1	0
ITA	-1	0	-1	1	-1
JAM	1	-1	-1	1	0
JPN	-1	1	-1	1	-1
JOR	0	0	-1	1	-1
KAZ	1	1	1	1	1
RKS	1	-1	-1	1	0
KWT	1	-1	-1	1	-1
KGZ	0	1	-1	0	-1
LVA	-1	0	0	1	0
LBN	-1	1	1	1	-1
LBR	1	-1	1	0	1
LTU	-1	1	1	1	1
LUX	-1	1	0	1	-1
MDG	-1	0	1	0	1
MYS	-1	1	-1	1	-1
MDV	1	-1	-1	1	1
MRT	-1	0	0	0	0
MUS	-1	0	0	1	0
MEX	1	1	1	0	1
MNE	-1	-1	-1	1	1
MAR	1	0	1	1	1
MMR	1	-1	-1	1	0
NLD	-1	1	-1	1	-1
NZL	-1	0	0	1	0
NGA	1	1	1	0	1
NOR	-1	1	-1	1	-1
OMN	1	0	1	0	1
PAK	1	-1	0	0	1
PAN	1	-1	1	0	1
PRY	1	-1	-1	0	0
PHL	1	-1	-1	0	0
POL	1	0	-1	1	-1
PRT	-1	1	1	1	-1
PRI	1	1	-1	0	-1
QAT	1	-1	-1	1	-1
ROU	1	1	0	1	-1
RUS	1	-1	-1	0	0
RWA	-1	-1	-1	0	1
SAU	1	-1	-1	1	-1
SRB	1	-1	-1	0	1
SRB	1	-1	-1	1	-1
SLE	1	1	1	0	-1
SGP	1	-1	-1	1	-1
SVK	-1	1	1	1	1
SVN	-1	-1	-1	1	-1
ZAF	-1	-1	1	0	1
ESP	-1	-1	-1	1	-1
LKA	0	-1	1	1	1
CHE	-1	-1	-1	1	-1
THA	-1	1	0	1	-1
TTO	-1	0	0	1	0
TUN	-1	0	-1	1	-1
TUR	-1	1	-1	1	-1
UGA	-1	0	0	0	0
UKR	1	1	-1	1	-1
ARE	1	-1	0	1	1
GBR	1	-1	-1	1	-1
USA	1	0	0	0	0
UZB	1	-1	0	1	1
VNM	-1	0	0	1	0
ZWE	1	0	0	1	0
